"","Term","Info1","Info2","Freq"
"12237","猫","名詞","一般",341
"24253","大食い","名詞","固有名詞",266
"8861","ハイライト","名詞","一般",238
"28062","公式","名詞","形容動詞語幹",196
"1909","すぎる","動詞","非自立",186
"1863","食べる","動詞","自立",185
"13289","選手","名詞","一般",177
"24626","山口達也","名詞","固有名詞",173
"18716","TOKIO","名詞","固有名詞",170
"24222","大谷翔平","名詞","固有名詞",169
"15337","BTS","名詞","固有名詞",164
"12289","理由","名詞","一般",154
"25217","日本","名詞","固有名詞",151
"28673","編","名詞","接尾",151
"2218","予想","名詞","サ変接続",149
"22273","プロ野球","名詞","固有名詞",140
"12974","衝撃","名詞","一般",138
"23152","乃木坂46","名詞","固有名詞",138
"28551","日","名詞","接尾",135
"26861","羽生結弦","名詞","固有名詞",132
"3638","驚愕","名詞","サ変接続",130
"921","作る","動詞","自立",124
"1689","語る","動詞","自立",124
"11658","最新","名詞","一般",122
"24772","平昌五輪","名詞","固有名詞",119
"10169","作り方","名詞","一般",117
"13838","今日","名詞","副詞可能",117
"17067","LIVE","名詞","固有名詞",117
"18826","The","名詞","固有名詞",117
"13938","結果","名詞","副詞可能",116
"26019","涙。","名詞","固有名詞",113
"2907","料理","名詞","サ変接続",111
"29671","ない","形容詞","自立",111
"12587","競馬","名詞","一般",110
"4530","Highlights","名詞","一般",109
"1640","見る","動詞","自立",108
"11594","映像","名詞","一般",108
"9547","メンバー","名詞","一般",105
"4278","Episode","名詞","一般",101
"3241","紹介","名詞","サ変接続",99
"5888","Video","名詞","一般",99
"10883","女子","名詞","一般",99
"10063","人","名詞","一般",98
"24730","巨人","名詞","固有名詞",98
"11751","柴犬","名詞","一般",97
"3362","解説","名詞","サ変接続",96
"28700","話","名詞","接尾",96
"28661","篇","名詞","接尾",95
"8220","シャン","名詞","一般",94
"9343","ホームラン","名詞","一般",94
"28309","くん","名詞","接尾",94
"195","シャンシャン","副詞","一般",93
"9888","一同","名詞","一般",93
"7428","゚","名詞","一般",92
"28383","人","名詞","接尾",92
"28750","集","名詞","接尾",92
"28560","月","名詞","接尾",90
"28532","戦","名詞","接尾",89
"5005","Music","名詞","一般",88
"27725","韓国","名詞","固有名詞",88
"28550","方","名詞","接尾",88
"9109","ファン","名詞","一般",85
"2890","放送","名詞","サ変接続",84
"1621","行く","動詞","自立",83
"13934","瞬間","名詞","副詞可能",83
"2250","会見","名詞","サ変接続",82
"28527","後","名詞","接尾",82
"28643","目","名詞","接尾",82
"744","できる","動詞","自立",81
"2329","公開","名詞","サ変接続",81
"2637","対決","名詞","サ変接続",81
"6796","ver","名詞","一般",81
"15048","AND","名詞","固有名詞",80
"25254","日本語字幕","名詞","固有名詞",80
"27095","虎ノ門ニュース","名詞","固有名詞",80
"18253","SHOHEI","名詞","固有名詞",79
"19132","WWW","名詞","固有名詞",79
"28323","たち","名詞","接尾",79
"15837","DHC","名詞","固有名詞",77
"19872","−1","名詞","固有名詞",77
"28326","ちゃん","名詞","接尾",77
"24607","居島一平","名詞","固有名詞",76
"29713","可愛い","形容詞","自立",76
"12328","男","名詞","一般",75
"2216","予告","名詞","サ変接続",74
"11595","映画","名詞","一般",74
"690","すぎる","動詞","自立",73
"3061","激","名詞","サ変接続",73
"10885","女性","名詞","一般",73
"11666","月","名詞","一般",73
"18760","TWICE","名詞","固有名詞",73
"28734","選","名詞","接尾",73
"29818","面白い","形容詞","自立",73
"7497","アニメ","名詞","一般",72
"13854","前","名詞","副詞可能",72
"16078","Episode","名詞","固有名詞",72
"16289","Full","名詞","固有名詞",72
"28378","中","名詞","接尾",72
"28773","対","名詞","接続詞的",72
"3650","問題","名詞","ナイ形容詞語幹",71
"17175","Love","名詞","固有名詞",71
"19873","−2","名詞","固有名詞",71
"960","出る","動詞","自立",70
"1362","止まる","動詞","自立",70
"1670","言う","動詞","自立",70
"7274","まとめ","名詞","一般",70
"28223","簡単","名詞","形容動詞語幹",70
"4424","Game","名詞","一般",69
"27519","鈴木","名詞","固有名詞",69
"9638","ライブ","名詞","一般",68
"11093","嵐","名詞","一般",68
"3314","行動","名詞","サ変接続",67
"24220","大谷","名詞","固有名詞",67
"28123","巨大","名詞","形容動詞語幹",67
"1710","買う","動詞","自立",66
"2095","チャレンジ","名詞","サ変接続",66
"3118","生活","名詞","サ変接続",65
"13062","話題","名詞","一般",65
"19268","YouTuber","名詞","固有名詞",65
"11654","最強","名詞","一般",64
"17239","MAX鈴木","名詞","固有名詞",64
"17706","Official","名詞","固有名詞",64
"17711","Ohtani","名詞","固有名詞",64
"17721","One","名詞","固有名詞",64
"20704","エンゼルス","名詞","固有名詞",64
"22440","マックス","名詞","固有名詞",64
"23411","作ってみた","名詞","固有名詞",64
"29579","よう","名詞","非自立",64
"1526","知る","動詞","自立",63
"26002","海外の反応","名詞","固有名詞",63
"9013","パンダ","名詞","一般",62
"17163","Live","名詞","固有名詞",62
"28457","回","名詞","接尾",62
"925","使う","動詞","自立",61
"3402","話","名詞","サ変接続",61
"28589","段","名詞","接尾",61
"328","どう","副詞","助詞類接続",60
"3157","登場","名詞","サ変接続",60
"4387","Full","名詞","一般",60
"26859","羽生","名詞","固有名詞",60
"4615","Inima","名詞","一般",59
"9818","ワンピース","名詞","一般",59
"9966","世界","名詞","一般",59
"15918","Deweni","名詞","固有名詞",59
"25783","欅坂46","名詞","固有名詞",59
"28616","版","名詞","接尾",59
"12311","生放送","名詞","一般",58
"16766","JAPAN","名詞","固有名詞",58
"27629","阪神","名詞","固有名詞",58
"2957","検証","名詞","サ変接続",57
"11775","桜","名詞","一般",56
"17395","May","名詞","固有名詞",56
"28006","フル","名詞","形容動詞語幹",56
"29730","怖い","形容詞","自立",56
"78","ついに","副詞","一般",55
"11683","木","名詞","一般",55
"17516","NBA","名詞","固有名詞",55
"17538","NHK","名詞","固有名詞",55
"28414","円","名詞","接尾",55
"3166","監督","名詞","サ変接続",54
"11597","春","名詞","一般",54
"353","ゆっくり","副詞","助詞類接続",53
"2748","感動","名詞","サ変接続",53
"2818","挑戦","名詞","サ変接続",53
"10938","子猫","名詞","一般",53
"11330","情報","名詞","一般",53
"11919","水","名詞","一般",53
"25209","日大","名詞","固有名詞",53
"25865","水曜日のダウンタウン","名詞","固有名詞",53
"28345","ら","名詞","接尾",53
"29652","すごい","形容詞","自立",53
"2366","出演","名詞","サ変接続",52
"2529","報道","名詞","サ変接続",52
"3520","連続","名詞","サ変接続",52
"10988","実況","名詞","一般",52
"17901","Piece","名詞","固有名詞",52
"1196","思う","動詞","自立",51
"8816","ニュース","名詞","一般",51
"19121","WITH","名詞","固有名詞",51
"29576","もの","名詞","非自立",51
"2089","ダイジェスト","名詞","サ変接続",50
"3150","発表","名詞","サ変接続",50
"12075","火","名詞","一般",50
"28315","さ","名詞","接尾",50
"29639","かわいい","形容詞","自立",50
"29687","やばい","形容詞","自立",50
"10748","声","名詞","一般",49
"11655","最後","名詞","一般",49
"13939","絶対","名詞","副詞可能",49
"20616","インド","名詞","固有名詞",49
"22374","ポケモンGO","名詞","固有名詞",49
"27484","金","名詞","固有名詞",49
"9902","一言","名詞","一般",48
"29597","時","名詞","非自立",48
"2024","インタビュー","名詞","サ変接続",47
"2991","決定","名詞","サ変接続",47
"3549","配信","名詞","サ変接続",47
"11571","日本語","名詞","一般",47
"23316","仮想通貨","名詞","固有名詞",47
"1912","ちゃう","動詞","非自立",46
"8258","シーン","名詞","一般",46
"11549","方法","名詞","一般",46
"13080","謎","名詞","一般",46
"13701","齢","名詞","一般",46
"21665","デカ盛り","名詞","固有名詞",46
"21839","ニュース速報","名詞","固有名詞",46
"23094","中日","名詞","固有名詞",46
"28640","的","名詞","接尾",46
"2935","暴露","名詞","サ変接続",45
"9591","ヤバ","名詞","一般",45
"12211","犬","名詞","一般",45
"13355","釣り","名詞","一般",45
"14497","30秒","名詞","固有名詞",45
"16073","English","名詞","固有名詞",45
"17649","N・O","名詞","固有名詞",45
"19535","kattyanneru","名詞","固有名詞",45
"27635","防弾少年団","名詞","固有名詞",45
"28454","品","名詞","接尾",45
"29586","中","名詞","非自立",45
"2051","コメント","名詞","サ変接続",44
"3398","試合","名詞","サ変接続",44
"3507","速報","名詞","サ変接続",44
"8033","ゲスト","名詞","一般",44
"13579","飼い主","名詞","一般",44
"13829","今","名詞","副詞可能",44
"13874","夜","名詞","副詞可能",44
"13907","朝","名詞","副詞可能",44
"16398","Game","名詞","固有名詞",44
"28591","氏","名詞","接尾",44
"3010","注意","名詞","サ変接続",43
"3376","記念","名詞","サ変接続",43
"3450","質問","名詞","サ変接続",43
"4448","Goals","名詞","一般",43
"5788","Trailer","名詞","一般",43
"11665","最高","名詞","一般",43
"18679","THE","名詞","固有名詞",43
"23924","名探偵コナン","名詞","固有名詞",43
"1314","放つ","動詞","自立",42
"13728","ｗｗｗ","名詞","一般",42
"20583","イッテQ","名詞","固有名詞",42
"25198","日","名詞","固有名詞",42
"28451","君","名詞","接尾",42
"1588","聞く","動詞","自立",41
"1902","く","動詞","非自立",41
"2418","勝利","名詞","サ変接続",41
"2527","報告","名詞","サ変接続",41
"4326","FULL","名詞","一般",41
"8043","ゲーム","名詞","一般",41
"8901","ハート","名詞","一般",41
"12279","球","名詞","一般",41
"25385","最終回","名詞","固有名詞",41
"197","スカッと","副詞","一般",40
"1905","くれる","動詞","非自立",40
"1907","しまう","動詞","非自立",40
"2299","優勝","名詞","サ変接続",40
"11048","小春","名詞","一般",40
"28098","大量","名詞","形容動詞語幹",40
"1146","帰る","動詞","自立",39
"1344","来る","動詞","自立",39
"3981","Cavaliers","名詞","一般",39
"20851","ガチ","名詞","固有名詞",39
"21826","ニコ生","名詞","固有名詞",39
"28095","大好き","名詞","形容動詞語幹",39
"28446","号","名詞","接尾",39
"28487","官","名詞","接尾",39
"153","もう","副詞","一般",38
"1814","釣る","動詞","自立",38
"1922","まくる","動詞","非自立",38
"2245","企画","名詞","サ変接続",38
"2441","反応","名詞","サ変接続",38
"5871","VIDEO","名詞","一般",38
"8399","スペシャル","名詞","一般",38
"9680","ラーメン","名詞","一般",38
"10683","土","名詞","一般",38
"11250","後編","名詞","一般",38
"12824","自分","名詞","一般",38
"12867","花","名詞","一般",38
"15283","BEST","名詞","固有名詞",38
"27549","銀魂","名詞","固有名詞",38
"1127","寝る","動詞","自立",37
"10878","女","名詞","一般",37
"11391","手","名詞","一般",37
"13042","言葉","名詞","一般",37
"13822","一番","名詞","副詞可能",37
"15701","Cleveland","名詞","固有名詞",37
"20837","カープ","名詞","固有名詞",37
"25698","森友","名詞","固有名詞",37
"28114","完全","名詞","形容動詞語幹",37
"28399","個","名詞","接尾",37
